"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008/2009","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4255","","","","0"
"2009/2010","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4562","","","","0"
"2010/2011","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4834","","","","0"
"2011/2012","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4409","","","","0"
"2012/2013","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4890","","","","0"
"2013/2014","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4700","","","","0"
"2014/2015","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","4818","","","","0"
"2015/2016","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5202","","","","0"
"2016/2017","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5069","","","","0"
"2017/2018","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5388","","","","0"
"2018/2019","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5440","","","","0"
"2019/2020","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5263","","","","0"
"2020/2021","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5506","","","","0"
"2021/2022","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5588","","","","0"
"2022/2023","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5683","","","","0"
"2023/2024","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","5783","","","","0"
"2006/2007","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","3531","","","","0"
"2007/2008","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","3460","","","","0"
"2008/2009","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","3767","","","","0"
"2009/2010","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","3979","","","","0"
"2010/2011","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4239","","","","0"
"2011/2012","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4336","","","","0"
"2012/2013","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4522","","","","0"
"2013/2014","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4525","","","","0"
"2014/2015","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4624","","","","0"
"2015/2016","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4619","","","","0"
"2016/2017","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4674","","","","0"
"2017/2018","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4724","","","","0"
"2018/2019","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4827","","","","0"
"2019/2020","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427294","1.3","4881","","","","0"
