Date;Location;Field_Of_Study;Value
2012/2013;Canada;Regular MBA;22546
2013/2014;Canada;Regular MBA;23784
2014/2015;Canada;Regular MBA;24305
2015/2016;Canada;Regular MBA;26335
2016/2017;Canada;Regular MBA;29025
2017/2018;Canada;Regular MBA;30003
2018/2019;Canada;Regular MBA;31818
2019/2020;Canada;Regular MBA;29028
2020/2021;Canada;Regular MBA;29065
2021/2022;Canada;Regular MBA;29544
2022/2023;Canada;Regular MBA;30070
2023/2024;Canada;Regular MBA;31028
2006/2007;Canada;Physical and life sciences and technologies;4103
2007/2008;Canada;Physical and life sciences and technologies;4067
2008/2009;Canada;Physical and life sciences and technologies;4437
2009/2010;Canada;Physical and life sciences and technologies;5239
2010/2011;Canada;Physical and life sciences and technologies;5477
2011/2012;Canada;Physical and life sciences and technologies;5632
2012/2013;Canada;Physical and life sciences and technologies;5913
2013/2014;Canada;Physical and life sciences and technologies;6024
2014/2015;Canada;Physical and life sciences and technologies;6100
2015/2016;Canada;Physical and life sciences and technologies;6350
2016/2017;Canada;Physical and life sciences and technologies;6455
2017/2018;Canada;Physical and life sciences and technologies;6753
2018/2019;Canada;Physical and life sciences and technologies;7056
2019/2020;Canada;Physical and life sciences and technologies;6741
2020/2021;Canada;Physical and life sciences and technologies;6740
2021/2022;Canada;Physical and life sciences and technologies;6828
2022/2023;Canada;Physical and life sciences and technologies;6936
2023/2024;Canada;Physical and life sciences and technologies;7052
2006/2007;Canada;Mathematics, computer and information sciences;4129
2007/2008;Canada;Mathematics, computer and information sciences;4042
2008/2009;Canada;Mathematics, computer and information sciences;4277
2009/2010;Canada;Mathematics, computer and information sciences;5488
2010/2011;Canada;Mathematics, computer and information sciences;5735
2011/2012;Canada;Mathematics, computer and information sciences;5716
2012/2013;Canada;Mathematics, computer and information sciences;5790
2013/2014;Canada;Mathematics, computer and information sciences;6001
2014/2015;Canada;Mathematics, computer and information sciences;6039
2015/2016;Canada;Mathematics, computer and information sciences;6123
2016/2017;Canada;Mathematics, computer and information sciences;7727
2017/2018;Canada;Mathematics, computer and information sciences;8010
2018/2019;Canada;Mathematics, computer and information sciences;8456
2019/2020;Canada;Mathematics, computer and information sciences;8395
2020/2021;Canada;Mathematics, computer and information sciences;8562
2021/2022;Canada;Mathematics, computer and information sciences;8702
2022/2023;Canada;Mathematics, computer and information sciences;8988
2023/2024;Canada;Mathematics, computer and information sciences;9169
2006/2007;Canada;Engineering;4221
2007/2008;Canada;Engineering;4287
2008/2009;Canada;Engineering;4593
2009/2010;Canada;Engineering;5312
2010/2011;Canada;Engineering;5522
2011/2012;Canada;Engineering;5175
2012/2013;Canada;Engineering;6040
2013/2014;Canada;Engineering;6168
2014/2015;Canada;Engineering;6388
2015/2016;Canada;Engineering;6777
2016/2017;Canada;Engineering;7077
2017/2018;Canada;Engineering;7219
2018/2019;Canada;Engineering;7369
2019/2020;Canada;Engineering;6990
2020/2021;Canada;Engineering;7037
2021/2022;Canada;Engineering;7243
2022/2023;Canada;Engineering;7519
