Date;Location;Field_Of_Study;Value
2008/2009;Canada;Physical and life sciences and technologies;15236
2009/2010;Canada;Physical and life sciences and technologies;16594
2010/2011;Canada;Physical and life sciences and technologies;17546
2011/2012;Canada;Physical and life sciences and technologies;18746
2012/2013;Canada;Physical and life sciences and technologies;18778
2013/2014;Canada;Physical and life sciences and technologies;19877
2014/2015;Canada;Physical and life sciences and technologies;20933
2015/2016;Canada;Physical and life sciences and technologies;22954
2016/2017;Canada;Physical and life sciences and technologies;24389
2017/2018;Canada;Physical and life sciences and technologies;26997
2018/2019;Canada;Physical and life sciences and technologies;29203
2019/2020;Canada;Physical and life sciences and technologies;32394
2020/2021;Canada;Physical and life sciences and technologies;34465
2021/2022;Canada;Physical and life sciences and technologies;35366
2022/2023;Canada;Physical and life sciences and technologies;37382
2023/2024;Canada;Physical and life sciences and technologies;39501
2006/2007;Canada;Mathematics, computer and information sciences;13613
2007/2008;Canada;Mathematics, computer and information sciences;14583
2008/2009;Canada;Mathematics, computer and information sciences;15475
2009/2010;Canada;Mathematics, computer and information sciences;16781
2010/2011;Canada;Mathematics, computer and information sciences;18459
2011/2012;Canada;Mathematics, computer and information sciences;18854
2012/2013;Canada;Mathematics, computer and information sciences;19265
2013/2014;Canada;Mathematics, computer and information sciences;20284
2014/2015;Canada;Mathematics, computer and information sciences;21879
2015/2016;Canada;Mathematics, computer and information sciences;23643
2016/2017;Canada;Mathematics, computer and information sciences;25452
2017/2018;Canada;Mathematics, computer and information sciences;28095
2018/2019;Canada;Mathematics, computer and information sciences;30370
2019/2020;Canada;Mathematics, computer and information sciences;32989
2020/2021;Canada;Mathematics, computer and information sciences;35182
2021/2022;Canada;Mathematics, computer and information sciences;36957
2022/2023;Canada;Mathematics, computer and information sciences;38690
2023/2024;Canada;Mathematics, computer and information sciences;41163
2006/2007;Canada;Engineering;14045
2007/2008;Canada;Engineering;14647
2008/2009;Canada;Engineering;15587
2009/2010;Canada;Engineering;17470
2010/2011;Canada;Engineering;18526
2011/2012;Canada;Engineering;19526
2012/2013;Canada;Engineering;20534
2013/2014;Canada;Engineering;21861
2014/2015;Canada;Engineering;23443
2015/2016;Canada;Engineering;25112
2016/2017;Canada;Engineering;27002
2017/2018;Canada;Engineering;28682
2018/2019;Canada;Engineering;31393
2019/2020;Canada;Engineering;33462
2020/2021;Canada;Engineering;35527
2021/2022;Canada;Engineering;36656
2022/2023;Canada;Engineering;40481
2023/2024;Canada;Engineering;43606
2006/2007;Canada;Architecture;13388
2007/2008;Canada;Architecture;14726
2008/2009;Canada;Architecture;15574
2009/2010;Canada;Architecture;16165
2010/2011;Canada;Architecture;17247
2011/2012;Canada;Architecture;17780
2012/2013;Canada;Architecture;17893
2013/2014;Canada;Architecture;18733
2014/2015;Canada;Architecture;19868
2015/2016;Canada;Architecture;21033
2016/2017;Canada;Architecture;22080
2017/2018;Canada;Architecture;23449
2018/2019;Canada;Architecture;24698
2019/2020;Canada;Architecture;27751
2020/2021;Canada;Architecture;30995
2021/2022;Canada;Architecture;31575
2022/2023;Canada;Architecture;33584
2023/2024;Canada;Architecture;35360
2006/2007;Canada;Agriculture, natural resources and conservation;12584
2007/2008;Canada;Agriculture, natural resources and conservation;13413
2008/2009;Canada;Agriculture, natural resources and conservation;14299
2009/2010;Canada;Agriculture, natural resources and conservation;15611
2010/2011;Canada;Agriculture, natural resources and conservation;16286
2011/2012;Canada;Agriculture, natural resources and conservation;16439
2012/2013;Canada;Agriculture, natural resources and conservation;16402
2013/2014;Canada;Agriculture, natural resources and conservation;17396
2014/2015;Canada;Agriculture, natural resources and conservation;17876
2015/2016;Canada;Agriculture, natural resources and conservation;19327
2016/2017;Canada;Agriculture, natural resources and conservation;21057
2017/2018;Canada;Agriculture, natural resources and conservation;22706
2018/2019;Canada;Agriculture, natural resources and conservation;24510
2019/2020;Canada;Agriculture, natural resources and conservation;26260
2020/2021;Canada;Agriculture, natural resources and conservation;28661
2021/2022;Canada;Agriculture, natural resources and conservation;30781
2022/2023;Canada;Agriculture, natural resources and conservation;32841
2023/2024;Canada;Agriculture, natural resources and conservation;35097
2007/2008;Canada;Dentistry;38397
2008/2009;Canada;Dentistry;37826
2009/2010;Canada;Dentistry;40225
2010/2011;Canada;Dentistry;40964
2011/2012;Canada;Dentistry;42057
2012/2013;Canada;Dentistry;44162
2013/2014;Canada;Dentistry;47243
2014/2015;Canada;Dentistry;48990
2015/2016;Canada;Dentistry;50646
2016/2017;Canada;Dentistry;52257
2017/2018;Canada;Dentistry;53483
2018/2019;Canada;Dentistry;53521
2019/2020;Canada;Dentistry;55102
2020/2021;Canada;Dentistry;56244
2021/2022;Canada;Dentistry;57606
2022/2023;Canada;Dentistry;66693
2023/2024;Canada;Dentistry;68870
2006/2007;Canada;Medicine;21685
2007/2008;Canada;Medicine;25173
2008/2009;Canada;Medicine;32738
2009/2010;Canada;Medicine;34198
2010/2011;Canada;Medicine;35422
2011/2012;Canada;Medicine;35502
2012/2013;Canada;Medicine;28600
2013/2014;Canada;Medicine;29407
2014/2015;Canada;Medicine;29440
2015/2016;Canada;Medicine;31881
2016/2017;Canada;Medicine;31534
2017/2018;Canada;Medicine;29223
2018/2019;Canada;Medicine;31214
2019/2020;Canada;Medicine;35271
2020/2021;Canada;Medicine;44648
2021/2022;Canada;Medicine;55756
2022/2023;Canada;Medicine;65201
2023/2024;Canada;Medicine;69426
2007/2008;Canada;Nursing;13757
2008/2009;Canada;Nursing;13472
2009/2010;Canada;Nursing;13747
2010/2011;Canada;Nursing;14283
2011/2012;Canada;Nursing;14651
2012/2013;Canada;Nursing;15584
2013/2014;Canada;Nursing;16221
2014/2015;Canada;Nursing;16704
2015/2016;Canada;Nursing;18152
2016/2017;Canada;Nursing;18620
2017/2018;Canada;Nursing;19538
2018/2019;Canada;Nursing;20861
2019/2020;Canada;Nursing;21921
2020/2021;Canada;Nursing;23105
2021/2022;Canada;Nursing;24444
2022/2023;Canada;Nursing;25813
2023/2024;Canada;Nursing;27747
2007/2008;Canada;Pharmacy;12454
2008/2009;Canada;Pharmacy;20153
2009/2010;Canada;Pharmacy;20621
2010/2011;Canada;Pharmacy;20795
2011/2012;Canada;Pharmacy;27300
2012/2013;Canada;Pharmacy;29527
2013/2014;Canada;Pharmacy;30728
2014/2015;Canada;Pharmacy;33434
2015/2016;Canada;Pharmacy;30997
2016/2017;Canada;Pharmacy;32510
2017/2018;Canada;Pharmacy;32693
2018/2019;Canada;Pharmacy;38903
2019/2020;Canada;Pharmacy;39531
2020/2021;Canada;Pharmacy;39855
2021/2022;Canada;Pharmacy;40661
2022/2023;Canada;Pharmacy;41624
2023/2024;Canada;Pharmacy;43808
2007/2008;Canada;Veterinary medicine;42219
2008/2009;Canada;Veterinary medicine;46377
2009/2010;Canada;Veterinary medicine;47312
2010/2011;Canada;Veterinary medicine;48262
2011/2012;Canada;Veterinary medicine;49538
2012/2013;Canada;Veterinary medicine;50493
2013/2014;Canada;Veterinary medicine;51332
2014/2015;Canada;Veterinary medicine;51815
2015/2016;Canada;Veterinary medicine;54326
2016/2017;Canada;Veterinary medicine;58359
2017/2018;Canada;Veterinary medicine;59132
2018/2019;Canada;Veterinary medicine;60432
2019/2020;Canada;Veterinary medicine;63406
2020/2021;Canada;Veterinary medicine;65652
2021/2022;Canada;Veterinary medicine;66571
2022/2023;Canada;Veterinary medicine;74772
2023/2024;Canada;Veterinary medicine;78029
2022/2023;Canada;Optometry;66037
2023/2024;Canada;Optometry;71051
2006/2007;Canada;Other health, parks, recreation and fitness;14473
2007/2008;Canada;Other health, parks, recreation and fitness;14028
2008/2009;Canada;Other health, parks, recreation and fitness;14361
2009/2010;Canada;Other health, parks, recreation and fitness;14950
2010/2011;Canada;Other health, parks, recreation and fitness;15683
2011/2012;Canada;Other health, parks, recreation and fitness;16069
2012/2013;Canada;Other health, parks, recreation and fitness;16882
2013/2014;Canada;Other health, parks, recreation and fitness;16966
2014/2015;Canada;Other health, parks, recreation and fitness;17767
2015/2016;Canada;Other health, parks, recreation and fitness;19269
2016/2017;Canada;Other health, parks, recreation and fitness;20297
2017/2018;Canada;Other health, parks, recreation and fitness;21862
2018/2019;Canada;Other health, parks, recreation and fitness;23269
2019/2020;Canada;Other health, parks, recreation and fitness;24553
2020/2021;Canada;Other health, parks, recreation and fitness;24973
2021/2022;Canada;Other health, parks, recreation and fitness;25510
2022/2023;Canada;Other health, parks, recreation and fitness;28263
2023/2024;Canada;Other health, parks, recreation and fitness;30008
2016/2017;Canada;Personal, protective and transportation services;19104
2017/2018;Canada;Personal, protective and transportation services;19941
2018/2019;Canada;Personal, protective and transportation services;19489
2019/2020;Canada;Personal, protective and transportation services;23694
2020/2021;Canada;Personal, protective and transportation services;26861
2021/2022;Canada;Personal, protective and transportation services;25782
2022/2023;Canada;Personal, protective and transportation services;26742
2023/2024;Canada;Personal, protective and transportation services;28135
