Date;Location;Field_Of_Study;Value
2010/2011;Canada;Executive MBA;34567
2011/2012;Canada;Executive MBA;37187
2012/2013;Canada;Executive MBA;41346
2013/2014;Canada;Executive MBA;43363
2014/2015;Canada;Executive MBA;35945
2015/2016;Canada;Executive MBA;39629
2016/2017;Canada;Executive MBA;51597
2017/2018;Canada;Executive MBA;47930
2018/2019;Canada;Executive MBA;67657
2019/2020;Canada;Executive MBA;55424
2020/2021;Canada;Executive MBA;63005
2021/2022;Canada;Executive MBA;75099
2022/2023;Canada;Executive MBA;67483
2023/2024;Canada;Executive MBA;68224
2007/2008;Canada;Regular MBA;23751
2008/2009;Canada;Regular MBA;26239
2009/2010;Canada;Regular MBA;27003
2010/2011;Canada;Regular MBA;25725
2011/2012;Canada;Regular MBA;28737
2012/2013;Canada;Regular MBA;29817
2013/2014;Canada;Regular MBA;30188
2014/2015;Canada;Regular MBA;32767
2015/2016;Canada;Regular MBA;33190
2016/2017;Canada;Regular MBA;34644
2017/2018;Canada;Regular MBA;36797
2018/2019;Canada;Regular MBA;38406
2019/2020;Canada;Regular MBA;38668
2020/2021;Canada;Regular MBA;39674
2021/2022;Canada;Regular MBA;40238
2022/2023;Canada;Regular MBA;42241
2023/2024;Canada;Regular MBA;43755
2006/2007;Canada;Physical and life sciences and technologies;9141
2007/2008;Canada;Physical and life sciences and technologies;9502
2008/2009;Canada;Physical and life sciences and technologies;10207
2009/2010;Canada;Physical and life sciences and technologies;11177
2010/2011;Canada;Physical and life sciences and technologies;11985
2011/2012;Canada;Physical and life sciences and technologies;12152
2012/2013;Canada;Physical and life sciences and technologies;12237
2013/2014;Canada;Physical and life sciences and technologies;12556
2014/2015;Canada;Physical and life sciences and technologies;12978
2015/2016;Canada;Physical and life sciences and technologies;13393
2016/2017;Canada;Physical and life sciences and technologies;13816
2017/2018;Canada;Physical and life sciences and technologies;14624
2018/2019;Canada;Physical and life sciences and technologies;14910
2019/2020;Canada;Physical and life sciences and technologies;15125
2020/2021;Canada;Physical and life sciences and technologies;16030
2021/2022;Canada;Physical and life sciences and technologies;16671
2022/2023;Canada;Physical and life sciences and technologies;17466
2023/2024;Canada;Physical and life sciences and technologies;18025
2006/2007;Canada;Mathematics, computer and information sciences;9166
2007/2008;Canada;Mathematics, computer and information sciences;9672
2008/2009;Canada;Mathematics, computer and information sciences;9680
2009/2010;Canada;Mathematics, computer and information sciences;10922
2010/2011;Canada;Mathematics, computer and information sciences;11749
2011/2012;Canada;Mathematics, computer and information sciences;12079
2012/2013;Canada;Mathematics, computer and information sciences;11733
2013/2014;Canada;Mathematics, computer and information sciences;12099
2014/2015;Canada;Mathematics, computer and information sciences;12479
2015/2016;Canada;Mathematics, computer and information sciences;12799
2016/2017;Canada;Mathematics, computer and information sciences;14311
2017/2018;Canada;Mathematics, computer and information sciences;15245
2018/2019;Canada;Mathematics, computer and information sciences;16114
2019/2020;Canada;Mathematics, computer and information sciences;17441
2020/2021;Canada;Mathematics, computer and information sciences;18406
2021/2022;Canada;Mathematics, computer and information sciences;19239
2022/2023;Canada;Mathematics, computer and information sciences;20338
2023/2024;Canada;Mathematics, computer and information sciences;21163
2006/2007;Canada;Engineering;10566
2007/2008;Canada;Engineering;11103
2008/2009;Canada;Engineering;10630
2009/2010;Canada;Engineering;12375
2010/2011;Canada;Engineering;13141
2011/2012;Canada;Engineering;13297
2012/2013;Canada;Engineering;13806
2013/2014;Canada;Engineering;14041
2014/2015;Canada;Engineering;14534
2015/2016;Canada;Engineering;15281
2016/2017;Canada;Engineering;16299
2017/2018;Canada;Engineering;17465
2018/2019;Canada;Engineering;18236
2019/2020;Canada;Engineering;19736
2020/2021;Canada;Engineering;21717
2021/2022;Canada;Engineering;22405
2022/2023;Canada;Engineering;23984
2023/2024;Canada;Engineering;25137
2006/2007;Canada;Architecture;10927
2007/2008;Canada;Architecture;11475
2008/2009;Canada;Architecture;12050
2009/2010;Canada;Architecture;12473
